group_id,post_id
649027869251783,735887730565796
649027869251783,735888930565676
649027869251783,735887057232530
649027869251783,734989083988994
649027869251783,734990070655562
649027869251783,734990680655501
684586655073166,1523131947885295
684586655073166,1522142771317546
684586655073166,1467526033445887
684586655073166,1520306481501175
684586655073166,1523614081170415
684586655073166,1522398507958639
711225992560661,1212154119134510
237621793368816,1010429419421379
237621793368816,1011192069345114
237621793368816,1011208389343482
237621793368816,1010646536066334
237621793368816,1011118512685803
237621793368816,1010731789391142
711225992560661,1213056872377568
711225992560661,1213959995620589
711225992560661,1210891562594099
711225992560661,1213219439027978
711225992560661,1214381358911786
711225992560661,1213177832365472
160333847913434,652764582003689
160333847913434,652781405335340
160333847913434,652677015345779
160333847913434,652115315401949
160333847913434,651878888758925
160333847913434,641619126451568
160333847913434,630684574211690
1739852386045883,3394465013917937
1073957686041786,2822223097881894
1739852386045883,3398044163560022
1739852386045883,3220410167990090
1739852386045883,3396772637020508
1739852386045883,3398031810227924
1739852386045883,3397965856901186
1739852386045883,3398026936895078
1073957686041786,2822199094550961
1073957686041786,2822115851225952
1073957686041786,2821945024576368
1073957686041786,2821939701243567
1073957686041786,2821826087921595
976558619150163,1871694846303198
976558619150163,1871668439639172
976558619150163,1871948232944526
976558619150163,1871947932944556
976558619150163,1871946372944712
976558619150163,1871937679612248
1661156220788437,2720893208148061
1661156220788437,2721063611464354
1661156220788437,2721062841464431
1661156220788437,2721044258132956
1661156220788437,2720697834834265
1661156220788437,2721034168133965
649027869251783,734988733989029
649027869251783,732321447589091
649027869251783,732959834191919
649027869251783,734705544017348
649027869251783,649027969251773
711225992560661,1207390402944215
684586655073166,1522918277906662
684586655073166,1520183761513447
684586655073166,1521307274734429
684586655073166,1521448971386926
684586655073166,1506410529557437
711225992560661,1213754325641156
711225992560661,1214080372275218
711225992560661,1134063210276935
711225992560661,1214894448860477
711225992560661,1215212562161999
160333847913434,649963642283783
684586655073166,1520290401502783
684586655073166,1521401351391688
160333847913434,644157489531065
160333847913434,640262909920523
160333847913434,646560899290724
160333847913434,648453452434802
160333847913434,569925743620907
160333847913434,641569856456495
1073957686041786,2821817401255797
